"filename", "language", "CMake", "JSON", "Swift", "HTML", "XML", "C++", "YAML", "Dart", "Markdown", "JSON with Comments", "Gradle", "Java Properties", "CMake Cache", "C", "comment", "blank", "total"
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\armeabi-v7a\prefab_config.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1\reply\cache-v2-da14a7f22dd5d191b1d2.json", "JSON", 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1\reply\cmakeFiles-v1-eabcfdaf0bc3d54da827.json", "JSON", 0, 799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 800
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1\reply\codemodel-v2-35c3e21a6b15359c6586.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1\reply\index-2025-03-17T18-14-45-0310.json", "JSON", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\android_gradle_build.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\android_gradle_build_mini.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86\prefab_config.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\android\app\.cxx\Debug\23624u3e\x86_64\.cmake\api\v1\reply\cache-v2-4da97bc46f13250e567d.json", "JSON", 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
